level	worker	selection	id	word	reading	contentHash	observation	fixed
N3	2	deterministic-sample	vocab-n3:1972	百人一首	ひゃくにんいっしゅ	36a9eac819862f280422d7887ea992a2e4608b274eb264437b99aff28ff8e8b3	no issue observed	no
N3	3	deterministic-sample	vocab-n3:868	実現	じつげん	0ea1a333ccba41368d37f145eee3f25db0501801a31dac4e5775beb47b6ab0d3	no issue observed	no
N2	1	mechanical	vocab-n2:1012	前提とする	ぜんていとする	ba91ee67ccc6048741c9ef952b1e055058714ba4ea3d72372f2e8fad9b9b8d3a	uncertain	no
N2	2	mechanical	vocab-n2:2001	翔る	かける	efd79a70363a2714baf7a153b30ea8d21d7f89035a0bdb21ad0a93d117fccd8e	no issue observed	no
N2	3	mechanical	vocab-n2:1027	有効にする	ゆうこうにする	a985cedb78a052e97740640cc544c7ac381c528292a86548dbb46b7c9230c4ac	uncertain	no
N2	1	mechanical	vocab-n2:1848	即〜	そく	872a4f647d5a1e6d5a6e39b9ba7b5f80d53bbdf584dde4372a35d0af09b273c5	confirmed defect	yes
N2	2	deterministic-sample	vocab-n2:317	めまい	めまい	daff71b86d483617b55f4fda860f5b44f713a7d66993183dc0cce03252d36486	no issue observed	no
N2	3	deterministic-sample	vocab-n2:706	勤勉な	きんべんな	b728d1b55a3c3a652539656a8cd6f1b20808b044e4c4234ee1a34e673d2e40a6	no issue observed	no
N2	1	deterministic-sample	vocab-n2:855	なお	なお	b43698452768d74510f358c24612884661015ccbdea39ec7d74feaaf7a8f2c49	no issue observed	no
N2	2	deterministic-sample	vocab-n2:566	登録する	とうろくする	3d61b8bb6e7321a03f15a217c4157fbe67d636d47216b26e08e0403a9dd9f054	no issue observed	no
N2	3	deterministic-sample	vocab-n2:1716	撤去	てっきょ	471236f588e72b32c9116a8aeec889916f65b3b97155a047427139a33c61f256	no issue observed	no
N2	1	deterministic-sample	vocab-n2:1161	務める	つとめる	a0f545432bfb3ce91b6c318cdc6bf24bbf68a77438b8cff03bd38b305867fab4	no issue observed	no
N2	2	deterministic-sample	vocab-n2:2379	青白い	あおじろい	685cd17fe492a0a65eb2ae5d7d8ffc1ecfa784db7ea7521edc54e0325f61e327	no issue observed	no
N2	3	deterministic-sample	vocab-n2:1815	薄める	うすめる	7204c66cab494b19ff0ea440b0cbdb8f3e10ab965b24bc1f07ec55f0ffe91692	no issue observed	no
N2	1	deterministic-sample	vocab-n2:45	原告	げんこく	970d576af9240d6b7b304f66014e1c62b2fd476750c6bfa4faec6c4b5d8f90a7	no issue observed	no
N2	2	deterministic-sample	vocab-n2:1940	北斗七星	ほくとしちせい	f330a7807c29708779da4c62d1b4e1b6dc12b2054ca3b8795c660e542dc1f08c	no issue observed	no
N2	3	deterministic-sample	vocab-n2:157	金利	きんり	eb129ea1c8c7daa616e099205241551a5c22d18e1bd766151522e6a28bddb9f9	no issue observed	no
N2	1	deterministic-sample	vocab-n2:1897	揺する	ゆする	64743a555c51ab259372b99fd7e5fdc003f68cbe3e14ffa7c6f2afe35625013b	no issue observed	no
N2	2	deterministic-sample	vocab-n2:491	離脱する	りだつする	37c2ac055e414d16cb71bf9d6eeca1afd3b45d1cfd75074fed694f2b2e18b8cd	no issue observed	no
N2	3	deterministic-sample	vocab-n2:1831	決裂	けつれつ	2b1c8d5420d2833fbb6fb08785d1856c685085eaa5a7e943e4b969fc6be50a1c	no issue observed	no
N2	1	deterministic-sample	vocab-n2:1493	高齢者	こうれいしゃ	b7e53ee031abadf9a38dc6ce7bc0867837681c0bd3a30b443e21cb913baafd05	no issue observed	no
N2	2	deterministic-sample	vocab-n2:958	着想	ちゃくそう	f164f646ba5ce810716553699d806267cbe2820777d7014452b270bb4de44ba8	no issue observed	no
N1	3	mechanical	vocab-n1:2884	慣行する	かんこうする	1083a78aa2b6ed89eb95675908f55283d3583f92f4f6426daa17d3d387a3db40	uncertain	no
N1	1	mechanical	vocab-n1:2656	躍起になる	やっきになる	14ba75d79589b0b3777c7e2f4fe332b02135a50433c35be1b3aeaf87089758db	uncertain	no
N1	2	mechanical	vocab-n1:2650	恤む	あわれむ	c73eb66941f33f232e205343bb8c098805c5baad6905150f427039b531d47126	uncertain	no
N1	3	deterministic-sample	vocab-n1:2503	辟易	へきえき	b91f81161ee027109ddd71df1f6512198bb1657449397d4670ed1ff7db31155f	no issue observed	no
N1	1	deterministic-sample	vocab-n1:791	拡散	かくさん	0b2e8be30063ca78b422a57c093212bc06b7055dd79fdda564387e342da8573a	no issue observed	no
N1	2	deterministic-sample	vocab-n1:2252	排出規制	はいしゅつきせい	806499d23c83f080bb5e1b51fec1a8e3958baec81ba01b93773d3e14f792f235	no issue observed	no
N1	3	deterministic-sample	vocab-n1:1247	ゆとり教育	ゆとりきょういく	3e4439227cca70710109efacefa50e9b04a5d319c402502184913b8a4492baf9	no issue observed	no
N1	1	deterministic-sample	vocab-n1:1839	畏れる	おそれる	c09ebca561bf429400e73b0a7cff0846f39d8fb806a86f46308ce663777bcc2b	no issue observed	no
N1	2	deterministic-sample	vocab-n1:201	政治資金	せいじしきん	36df6002590f8d9e19d77da98a6992b40855435f0ea26137e18e6721a2e312d6	uncertain	no
N1	3	deterministic-sample	vocab-n1:2574	挫ける	くじける	c9b1ab52c0e576eb634b690d5e5b829c3538e8eed9b3fa1b482da8a56d2c10b9	no issue observed	no
N1	1	deterministic-sample	vocab-n1:42	求刑	きゅうけい	b2c6d3bc102cd8523c2bd7801b3c36ee97997e968c223e867bdf59e0667109c2	uncertain	no
N1	2	deterministic-sample	vocab-n1:2494	刹那的	せつなてき	300c82bae70f500fde10a309a9eda7b924fac0e6b14980c7ba4a77d9f9934476	no issue observed	no
N1	3	deterministic-sample	vocab-n1:1270	短編	たんぺん	0dbbc1b17118b97d69a4537eca78649846be24e3e4cb81336541974d9f2da756	no issue observed	no
N1	1	deterministic-sample	vocab-n1:2493	社交的	しゃこうてき	c1e01228bfdadcdcdcb69ba1bfdfc0d4c0b208e220cba4fa00a3bc20576cbfb9	no issue observed	no
N1	2	deterministic-sample	vocab-n1:1875	荒廃	こうはい	1b980613403fa0d9ff62b9d8d09744cf392fb8cf54bcb233cde5b5399f1fcf2f	no issue observed	no
N1	3	deterministic-sample	vocab-n1:1432	言語権	げんごけん	7e423d5c3b3a049351433b8ac9604c42f769375b1bada0f1434906e55a423cb9	no issue observed	no
N1	1	deterministic-sample	vocab-n1:2329	通夜	つや	62fb65468a88fdbce112e1416ec8c4484c3f9a7a82330337a7b8697af5e36f8d	no issue observed	no
N1	2	deterministic-sample	vocab-n1:280	出納	すいとう	d9c49fc21cb20a5743a8da5c0f7a8bf4cf38b498fe40802e640609ce72bcb1fc	no issue observed	no
N1	3	deterministic-sample	vocab-n1:3853	必然	ひつぜん	15465ae6761ebe3dbaec3f251159439ed0a06199e3ce41722681082205b8c321	no issue observed	no
N1	1	deterministic-sample	vocab-n1:1779	救世	きゅうせい	e06f0e08eb974fe892b1e3f9ab57a2954122ea57c056e8c086964097ea1d3020	no issue observed	no
