# level|word|new contextual example|romaji|German|usage and contrast note
N3|感情|怒りの感情をそのまま相手にぶつけないようにした。|Ikari no kanjou o sono mama aite ni butsukenai you ni shita.|Ich bemühte mich, meine Wut nicht ungefiltert am anderen auszulassen.|感情を抑える・感情が高まる。感想 ist dagegen ein Eindruck oder eine Einschätzung.
N3|感謝|手伝ってくれた友人に、感謝を込めて手紙を書いた。|Tetsudatte kureta yuujin ni, kansha o komete tegami o kaita.|Meinem hilfsbereiten Freund schrieb ich einen Brief voller Dankbarkeit.|人に感謝する = jemandem danken; 感謝を込めて = mit Dankbarkeit.
N3|尊重する|意見が違っても、相手の選択を尊重したい。|Iken ga chigatte mo, aite no sentaku o sonchou shitai.|Auch bei anderer Meinung möchte ich die Entscheidung des anderen respektieren.|意見・意思・権利を尊重する。尊敬する bezeichnet Achtung oder Bewunderung für eine Person.
N3|主張する|彼女は会議で、休憩時間を増やすべきだと主張した。|Kanojo wa kaigi de, kyuukei jikan o fuyasu beki da to shuchou shita.|Sie vertrat in der Besprechung die Position, dass es mehr Pausen geben sollte.|～と主張する・権利を主張する。Eine Position nachdrücklich vertreten; neutraler als zwangsläufig streiten.
N3|評価する|価格だけでなく、使いやすさも評価して選んだ。|Kakaku dake de naku, tsukaiyasusa mo hyouka shite eranda.|Bei der Auswahl bewertete ich neben dem Preis auch die Bedienbarkeit.|高く評価する = hoch einschätzen; 評価される = Anerkennung finden oder bewertet werden.
N3|実現する|家族で海外に住むという希望がようやく実現した。|Kazoku de kaigai ni sumu to iu kibou ga youyaku jitsugen shita.|Der Wunsch, als Familie im Ausland zu leben, wurde endlich Wirklichkeit.|夢を実現する ist transitiv; 夢が実現する ist intransitiv. Die Partikel verändert die Perspektive.
N3|達成する|毎日少しずつ走って、月に百キロの目標を達成した。|Mainichi sukoshi zutsu hashitte, tsuki ni hyakkiro no mokuhyou o tassei shita.|Mit täglichen kleinen Läufen erreichte ich mein Monatsziel von hundert Kilometern.|目標・目的を達成する。Für ein erreichtes Ziel; ein Wunsch wird eher 実現する。
N3|挑戦する|失敗を恐れず、初めてパン作りに挑戦した。|Shippai o osorezu, hajimete panzukuri ni chousen shita.|Ohne Angst vor Fehlern wagte ich mich erstmals ans Brotbacken.|課題・新しいことに挑戦する。Das Ziel wird mit に markiert.
N3|克服する|人前で話す練習を重ねて、苦手意識を克服した。|Hitomae de hanasu renshuu o kasanete, nigate ishiki o kokufuku shita.|Durch wiederholtes Üben überwand ich meine Scheu vor öffentlichen Vorträgen.|困難・弱点・苦手意識を克服する。Betont das Überwinden einer Hürde.
N3|解決する|話し合った結果、誤解が解決した。|Hanashiatta kekka, gokai ga kaiketsu shita.|Durch das Gespräch klärte sich das Missverständnis.|問題を解決する = ein Problem lösen; 問題が解決する = ein Problem wird gelöst.
N3|発展する|小さな相談が、町全体の計画へと発展した。|Chiisana soudan ga, machi zentai no keikaku e to hatten shita.|Aus einer kleinen Beratung entwickelte sich ein Plan für den ganzen Ort.|経済・町が発展する; ～へ発展する kann auch eine Ausweitung ohne positives Urteil beschreiben.
N3|進歩する|練習を録音すると、自分がどれだけ進歩したか分かる。|Renshuu o rokuon suru to, jibun ga dore dake shinpo shita ka wakaru.|An Übungsaufnahmen erkenne ich, wie viel ich besser geworden bin.|技術・能力が進歩する。Betont qualitative Verbesserung; 発展 kann auch Wachstum und Ausbreitung meinen.
N3|回復する|午後には天気が回復して、外で遊べた。|Gogo ni wa tenki ga kaifuku shite, soto de asobeta.|Am Nachmittag besserte sich das Wetter, sodass wir draußen spielen konnten.|健康・景気・天気が回復する。健康を回復する ist ebenfalls möglich: die Gesundheit wiedererlangen.
N3|対応する|このアプリは古い機種にも対応している。|Kono apuri wa furui kishu ni mo taiou shite iru.|Diese App unterstützt auch ältere Gerätemodelle.|問題に対応する = auf ein Problem reagieren; 機種に対応する = mit einem Modell kompatibel sein.
N2|支持|この棚は二本の柱で支持されている。|Kono tana wa nihon no hashira de shiji sarete iru.|Dieses Regal wird von zwei Stützen getragen.|支持する kann politisch unterstützen oder technisch abstützen bedeuten. 同音: 指示 = Anweisung.
N2|訴える|子供が腹痛を訴えたので、保健室へ連れていった。|Kodomo ga fukutsuu o uttaeta node, hokenshitsu e tsurete itta.|Weil das Kind über Bauchschmerzen klagte, brachte ich es ins Krankenzimmer.|会社を訴える = verklagen; 痛みを訴える = über Schmerzen klagen; 必要性を訴える = an die Notwendigkeit appellieren.
N2|承認する|休暇の申請が承認されたので、切符を買った。|Kyuuka no shinsei ga shounin sareta node, kippu o katta.|Nachdem mein Urlaubsantrag genehmigt worden war, kaufte ich die Fahrkarte.|申請・計画を承認する。Eine offizielle Zustimmung; 確認する bedeutet prüfen oder bestätigen, nicht unbedingt genehmigen.
N2|調整する|椅子の高さを調整して、画面を見やすくした。|Isu no takasa o chousei shite, gamen o miyasuku shita.|Ich stellte die Sitzhöhe so ein, dass ich den Bildschirm besser sehen konnte.|日程を調整する = Termine abstimmen; 高さ・音量を調整する = einstellen.
N2|引き受ける|旅行中の猫の世話を隣人が引き受けてくれた。|Ryokouchuu no neko no sewa o rinjin ga hikiukete kureta.|Mein Nachbar übernahm während der Reise die Betreuung der Katze.|仕事・役割・世話を引き受ける。Betont die übernommene Verantwortung, nicht nur den Empfang einer Sache.
N2|更新する|住所が変わったら、登録情報を更新してください。|Juusho ga kawattara, touroku jouhou o koushin shite kudasai.|Bitte aktualisieren Sie Ihre Registrierungsdaten bei einer Adressänderung.|情報を更新する = aktualisieren; 契約を更新する = verlängern; 記録を更新する = einen Rekord verbessern.
N2|解約|引っ越し前に、インターネットの解約を申し込んだ。|Hikkoshi mae ni, intaanetto no kaiyaku o moushikonda.|Vor dem Umzug beantragte ich die Kündigung meines Internetanschlusses.|契約を解約する。Beendet einen laufenden Vertrag; 予約をキャンセルする storniert eine Buchung.
N2|補償|工事で休業した店に、売り上げの補償が出た。|Kouji de kyuugyou shita mise ni, uriage no hoshou ga deta.|Das wegen Bauarbeiten geschlossene Geschäft erhielt einen Ausgleich für den Umsatzverlust.|補償 = Ausgleich für einen Schaden; 保証 = Zusicherung/Garantie; 保障 = Schutz von Rechten oder Sicherheit.
N2|還元する|店は利益の一部をポイントとして客に還元する。|Mise wa rieki no ichibu o pointo to shite kyaku ni kangen suru.|Das Geschäft gibt einen Teil des Gewinns als Punkte an die Kunden zurück.|化学では還元 = Reduktion; 利益を還元する = Gewinne zugutekommen lassen/zurückgeben.
N2|交渉する|退去日を一週間延ばせないか、大家と交渉した。|Taikyobi o isshuukan nobasenai ka, ooya to koushou shita.|Ich verhandelte mit dem Vermieter über eine Verschiebung des Auszugstermins um eine Woche.|相手と条件について交渉する。仲介する bedeutet dagegen zwischen Parteien vermitteln.
N2|仲介する|先輩が仲介してくれて、研究者に話を聞けた。|Senpai ga chuukai shite kurete, kenkyuusha ni hanashi o kiketa.|Dank der Vermittlung eines älteren Kollegen konnte ich mit einem Forscher sprechen.|売買・交渉を仲介する。Der Vermittler stellt eine Verbindung zwischen anderen Beteiligten her.
N2|和解する|謝って話し合い、けんかした友人と和解した。|Ayamatte hanashiai, kenka shita yuujin to wakai shita.|Nach einer Entschuldigung und einem Gespräch versöhnte ich mich mit meinem Freund.|相手と和解する。Kann private Versöhnung oder eine rechtliche Einigung bezeichnen.
N2|通知する|パスワードが変更されると、利用者に通知する。|Pasuwaado ga henkou sareru to, riyousha ni tsuuchi suru.|Bei einer Passwortänderung wird der Nutzer benachrichtigt.|人に内容を通知する。Sachlich und häufig schriftlich; 連絡する ist allgemeiner.
N2|語る|古い写真が、この町の歴史を語っている。|Furui shashin ga, kono machi no rekishi o katatte iru.|Alte Fotos erzählen die Geschichte dieses Ortes.|経験・思い出を語る。Auch bildlich: 写真・数字が語る。話す ist allgemeiner.
N2|告げる|庭の花が春の訪れを告げている。|Niwa no hana ga haru no otozure o tsugete iru.|Die Blumen im Garten kündigen den Frühling an.|結果を告げる = mitteilen; 季節の訪れを告げる = ankündigen. Häufig schriftsprachlicher als 言う.
N2|議論する|結論を急がず、方法の長所と短所を議論した。|Ketsuron o isogazu, houhou no chousho to tansho o giron shita.|Wir diskutierten die Vor- und Nachteile der Methode ohne vorschnellen Schluss.|問題について議論する。Eine Diskussion muss kein Streit sein; 口論 ist ein Wortgefecht.
N2|説得する|安全性を説明して、家族を説得した。|Anzensei o setsumei shite, kazoku o settoku shita.|Mit einer Erklärung zur Sicherheit überzeugte ich meine Familie.|人を説得する。納得する bezeichnet das eigene Einsehen; 納得させる jemanden überzeugen.
N2|忠告する|先輩は、契約書をよく読むように忠告してくれた。|Senpai wa, keiyakusho o yoku yomu you ni chuukoku shite kureta.|Mein älterer Kollege riet mir eindringlich, den Vertrag gründlich zu lesen.|人に～よう忠告する。Ein warnender Rat; 提案 ist ein Vorschlag, 警告 eine ausdrückliche Warnung.
N2|誤解する|短い返事を怒っている証拠だと誤解した。|Mijikai henji o okotte iru shouko da to gokai shita.|Ich missverstand die kurze Antwort als Zeichen von Ärger.|AをBと誤解する = A irrtümlich für B halten. 誤解を解く = ein Missverständnis ausräumen.
N2|同意する|利用規約に同意してから、登録を完了した。|Riyou kiyaku ni doui shite kara, touroku o kanryou shita.|Nach der Zustimmung zu den Nutzungsbedingungen schloss ich die Anmeldung ab.|意見・規約に同意する。Mit に; nicht 意見を同意する.
N2|拒否する|端末が古いパスワードでの接続を拒否した。|Tanmatsu ga furui pasuwaado de no setsuzoku o kyohi shita.|Das Gerät verweigerte die Verbindung mit dem alten Passwort.|要求・接続を拒否する。Deutlicher und förmlicher als 断る.
N2|反論する|その数字は古いと、彼女は資料を示して反論した。|Sono suuji wa furui to, kanojo wa shiryou o shimeshite hanron shita.|Mit Unterlagen widersprach sie: Die Zahlen seien veraltet.|意見に反論する。Eine Gegenargumentation; 反対する kann bloße Ablehnung sein.
N2|聞き取る|電話の音が小さくて、住所を聞き取れなかった。|Denwa no oto ga chiisakute, juusho o kikitorenakatta.|Die Telefonverbindung war so leise, dass ich die Adresse nicht verstehen konnte.|聞き取る = akustisch erfassen; 聞く auch hören, zuhören oder fragen.
N2|読み取る|カメラでコードを読み取ると、地図が表示される。|Kamera de koodo o yomitoru to, chizu ga hyouji sareru.|Beim Scannen des Codes mit der Kamera erscheint eine Karte.|表情から気持ちを読み取る = erschließen; コードを読み取る = technisch einlesen.
N2|言い換える|専門用語を子供にも分かる表現に言い換えた。|Senmon yougo o kodomo ni mo wakaru hyougen ni iikaeta.|Ich formulierte die Fachbegriffe so um, dass auch Kinder sie verstehen.|AをBに言い換える。Bedeutung möglichst beibehalten; 言い直す kann eine Korrektur sein.
N2|とりあえず|詳しい日程は後で決めて、とりあえず会場だけ予約した。|Kuwashii nittei wa ato de kimete, toriaezu kaijou dake yoyaku shita.|Den genauen Ablauf wollten wir später festlegen; zunächst reservierte ich den Veranstaltungsort.|Vorerst eine unmittelbar nötige Handlung. Kann gegenüber Kunden unvorbereitet wirken; förmlicher: まず.
N2|なおさら|普段でも混むのだから、休日はなおさらだ。|Fudan demo komu no da kara, kyuujitsu wa naosara da.|Es ist schon sonst voll; an freien Tagen umso mehr.|なおさら = umso mehr, mit einem zusätzlichen verstärkenden Grund. Nicht schlicht 再び = wieder.
N2|どうやら|電気が消えている。どうやら店はもう閉まったようだ。|Denki ga kiete iru. Douyara mise wa mou shimatta you da.|Das Licht ist aus. Offenbar hat das Geschäft schon geschlossen.|Schlussfolgerung aus Anzeichen, häufig mit ～ようだ・～らしい. Keine absolute Gewissheit.
N2|ちなみに|会議は三時からです。ちなみに、会場は二階です。|Kaigi wa sanji kara desu. Chinami ni, kaijou wa nikai desu.|Die Besprechung beginnt um drei. Übrigens befindet sich der Raum im zweiten Stock.|Führt eine thematisch anschließende Zusatzinformation ein. ところで wechselt eher das Thema.
N2|ただし|写真は撮れます。ただし、フラッシュは使わないでください。|Shashin wa toremasu. Tadashi, furasshu wa tsukawanaide kudasai.|Fotografieren ist erlaubt. Allerdings darf kein Blitz verwendet werden.|Führt eine Einschränkung oder Ausnahme ein. しかし markiert allgemeiner einen Gegensatz.
N1|腐敗|保存温度が高いと、食品の腐敗が進みやすい。|Hozon ondo ga takai to, shokuhin no fuhai ga susumiyasui.|Bei hoher Lagertemperatur verderben Lebensmittel leichter.|腐敗 = Verderb/Fäulnis oder gesellschaftliche Korruption. 腐る ist das gewöhnliche Verb für verderben.
N1|工作|子供たちは紙と木で工作を楽しんだ。|Kodomotachi wa kami to ki de kousaku o tanoshinda.|Die Kinder hatten Spaß am Basteln mit Papier und Holz.|工作 = Basteln/Werken; 政治工作 = verdeckte politische Einflussnahme. Der Kontext entscheidet.
N1|拘束|この仕事は移動を含めると拘束時間が長い。|Kono shigoto wa idou o fukumeru to kousoku jikan ga nagai.|Mit den Fahrten gerechnet bindet diese Arbeit viel Zeit.|身体の拘束 = körperliches Festhalten; 時間の拘束 = zeitliche Bindung. Nicht jede Verwendung meint Haft.
N1|還元|研究成果を地域社会に還元することが目標だ。|Kenkyuu seika o chiiki shakai ni kangen suru koto ga mokuhyou da.|Ziel ist es, die Forschungsergebnisse der örtlichen Gemeinschaft zugutekommen zu lassen.|還元 = chemische Reduktion oder Rückgabe von Nutzen. Typisch: 利益・成果を社会に還元する。
N1|遂行|限られた人数で任務を遂行しなければならない。|Kagirareta ninzuu de ninmu o suikou shinakereba naranai.|Wir müssen den Auftrag mit begrenztem Personal ausführen.|任務・職務・計画を遂行する。Förmlich; betont die tatsächliche Durchführung einer Aufgabe.
N1|没頭する|読書に没頭して、降りる駅を通り過ぎた。|Dokusho ni bottou shite, oriru eki o toorisugita.|Ich war so ins Lesen vertieft, dass ich meine Haltestelle verpasste.|活動に没頭する。Positive Konzentration, manchmal mit Vernachlässigung der Umgebung.
N1|凌ぐ|木陰で暑さを凌いだ。|Kokage de atsusa o shinoida.|Im Schatten der Bäume suchte ich Schutz vor der Hitze.|実力で相手を凌ぐ = übertreffen; 暑さ・寒さを凌ぐ = ertragen/sich davor schützen.
N1|閃く|散歩中に、問題を解く方法が閃いた。|Sanpochuu ni, mondai o toku houhou ga hirameita.|Beim Spaziergang fiel mir plötzlich eine Lösung ein.|考え・アイデアが閃く。Auch für ein kurzes Aufleuchten; gewöhnlich intransitiv.
N1|揺さぶる|子供が枝を揺さぶると、葉が落ちた。|Kodomo ga eda o yusaburu to, ha ga ochita.|Als das Kind den Ast schüttelte, fielen Blätter herunter.|木を揺さぶる = körperlich schütteln; 心・社会を揺さぶる = emotional oder gesellschaftlich erschüttern.
N1|仰ぐ|顔を上げて、夜空を仰いだ。|Kao o agete, yozora o aoida.|Ich hob den Kopf und blickte zum Nachthimmel hinauf.|空を仰ぐ = hinaufblicken; 指導・判断を仰ぐ = um Anleitung oder Entscheidung bitten.
N1|遡る|川を遡って、滝の近くまで歩いた。|Kawa o sakanobotte, taki no chikaku made aruita.|Ich ging flussaufwärts bis in die Nähe des Wasserfalls.|川を遡る = flussaufwärts gehen; 時代を遡る = zeitlich zurückgehen. 五段動詞。
N1|塞ぐ|工事の音が大きくて、思わず耳を塞いだ。|Kouji no oto ga ookikute, omowazu mimi o fusaida.|Der Baulärm war so laut, dass ich mir unwillkürlich die Ohren zuhielt.|道・穴・耳を塞ぐ = verschließen/blockieren; 気が塞ぐ = bedrückt sein.
N1|覆る|新しい証拠で、これまでの常識が覆った。|Atarashii shouko de, kore made no joushiki ga kutsugaetta.|Neue Beweise stellten das bisherige Allgemeinwissen auf den Kopf.|覆る ist intransitiv; 覆す ist transitiv. 判決が覆る / 判決を覆す。
N1|費やす|休日を丸一日、部屋の片付けに費やした。|Kyuujitsu o maru ichinichi, heya no katazuke ni tsuiyashita.|Ich verbrachte einen ganzen freien Tag damit, mein Zimmer aufzuräumen.|時間・費用・労力を活動に費やす。Kann neutral sein; 浪費する bedeutet ausdrücklich verschwenden.
N1|打ち明ける|一人で悩まず、家族に不安を打ち明けた。|Hitori de nayamazu, kazoku ni fuan o uchiaketa.|Statt allein zu grübeln, vertraute ich meiner Familie meine Sorgen an.|人に秘密・悩みを打ち明ける。Betont persönliches Vertrauen und bisher Verschwiegenes.
N1|食い止める|早い修理で、水漏れの被害を食い止めた。|Hayai shuuri de, mizumore no higai o kuitometa.|Eine schnelle Reparatur verhinderte weitere Schäden durch das Leck.|被害・拡大・流出を食い止める。Eine bereits drohende oder laufende Entwicklung aufhalten.
N1|見据える|相手の目を見据えて、はっきり答えた。|Aite no me o misuete, hakkiri kotaeta.|Ich sah dem anderen fest in die Augen und antwortete klar.|目を見据える = fest ansehen; 将来を見据える = vorausschauend berücksichtigen.
N1|突き詰める|原因を突き詰めると、情報共有の不足に行き着いた。|Gen'in o tsukitsumeru to, jouhou kyouyuu no fusoku ni ikitsuita.|Bei gründlicher Ursachenanalyse stießen wir auf mangelnden Informationsaustausch.|問題・原因を突き詰める。Bis zum Kern untersuchen; 突き止める betont das Finden.
N1|申し出る|道に迷った旅行者に、案内を申し出た。|Michi ni mayotta ryokousha ni, annai o moushideta.|Ich bot einem verirrten Reisenden meine Hilfe als Wegweiser an.|協力・援助を申し出る。Ein Angebot oder Anliegen von sich aus vorbringen.
N1|仕切る|棚で部屋を二つに仕切った。|Tana de heya o futatsu ni shikitta.|Ich teilte das Zimmer mit einem Regal in zwei Bereiche.|部屋を仕切る = räumlich abteilen; 会議・行事を仕切る = leiten/organisieren.
N1|根差す|この祭りは地域の暮らしに深く根差している。|Kono matsuri wa chiiki no kurashi ni fukaku nezashite iru.|Dieses Fest ist tief im Leben der Region verwurzelt.|文化・伝統・経験に根差す。Beschreibt einen Ursprung oder eine feste Verwurzelung.
N1|払拭する|実演を見て、操作が難しいという不安を払拭できた。|Jitsuen o mite, sousa ga muzukashii to iu fuan o fusshoku dekita.|Die Vorführung nahm mir die Sorge, dass die Bedienung schwierig sei.|不安・疑念・印象を払拭する。Förmlicher Ausdruck für das Beseitigen einer Vorstellung oder Sorge.
N1|凝縮する|短い挨拶に、長年の感謝が凝縮されていた。|Mijikai aisatsu ni, naganen no kansha ga gyoushuku sarete ita.|In der kurzen Ansprache bündelte sich die Dankbarkeit vieler Jahre.|経験・思いが凝縮される = verdichtet sein; technisch auch Kondensation.
N1|網羅する|この案内は、申請に必要な手続きを網羅している。|Kono annai wa, shinsei ni hitsuyou na tetsuzuki o moura shite iru.|Diese Anleitung deckt alle für den Antrag nötigen Schritte ab.|必要事項・分野を網羅する。Beansprucht umfassende Abdeckung; nicht bloß einige Beispiele sammeln.
N1|示唆する|売り上げの変化は、客の好みの変化を示唆している。|Uriage no henka wa, kyaku no konomi no henka o shisa shite iru.|Die Umsatzentwicklung deutet auf veränderte Kundenwünsche hin.|可能性を示唆する。Ein Hinweis, kein Beweis; 証明する wäre nachweisen.
N1|汲み取る|言葉にならない気持ちを、表情から汲み取った。|Kotoba ni naranai kimochi o, hyoujou kara kumitotta.|Ich erkannte ihre unausgesprochenen Gefühle am Gesichtsausdruck.|意図・気持ちを汲み取る = einfühlend erfassen. Wörtlich auch Flüssigkeit schöpfen.
N1|突き止める|記録を調べて、荷物が届かなかった理由を突き止めた。|Kiroku o shirabete, nimotsu ga todokanakatta riyuu o tsukitometa.|Durch Prüfung der Aufzeichnungen fand ich heraus, warum das Paket nicht angekommen war.|原因・所在・理由を突き止める。Betont das Ergebnis einer Nachforschung.
N1|打開する|新しい提案が、行き詰まった話し合いを打開した。|Atarashii teian ga, ikizumatta hanashiai o dakai shita.|Ein neuer Vorschlag löste die festgefahrene Verhandlung.|局面・難局を打開する。Eine blockierte Situation durch einen neuen Weg überwinden.
N1|吟味する|複数の説明を吟味してから、結論を出した。|Fukusuu no setsumei o ginmi shite kara, ketsuron o dashita.|Ich prüfte mehrere Erklärungen sorgfältig, bevor ich einen Schluss zog.|素材・内容・条件を吟味する。Betont sorgfältiges Abwägen von Qualität und Eignung.
N1|精通する|地域の事情に精通した人に相談した。|Chiiki no jijou ni seitsuu shita hito ni soudan shita.|Ich beriet mich mit jemandem, der die örtlichen Verhältnisse genau kennt.|分野・事情に精通する。Fundierte Vertrautheit; bloßes 聞いたことがある reicht dafür nicht.
