# Explicitly reviewed surface forms in the first example; no display-notation inference.
te-iru|読んでいます
n1-tari-tomo-nai|たりとも
n1-de-are-de-are|であれ
n1-ni-taeru|に堪える
n1-wo-yoginaku-sareru|を余儀なくされた
n1-to-ii-to-ii|といい
n1-sobireru|そびれて
n1-ni-itaru|に至った
n1-you-ni-mo-nai|買おうにも買えない
n1-n-bakari-ni|んばかりの
n1-ni-soku-suru|に即した
n1-wo-yoginaku-saseru|を余儀なくさせた
n1-nakushite|なくして
n1-nari-nari|なり
n1-tsu-tsu|行きつ戻りつ
n1-bakarikamade|ばかりか
n1-hitoridake denaku|ひとりの問題だけでなく
n1-meku|めいた
n1-mono-explanation|もの
n1-mononara|ものなら
n1-youdewanaika|頑張ろうではないか
n1-shimatsuda|始末だ
n1-naimonoka2|ないものか
n1-kai-ga-aru|甲斐があって
keigo-sonkeigo-oninaru|お帰りになりました
keigo-sonkeigo-reraru|来られます
keigo-sonkeigo-irassharu|いらっしゃいます
keigo-sonkeigo-ossharu|おっしゃった
keigo-sonkeigo-meshiagaru|召し上がって
keigo-sonkeigo-goranninaru|ご覧になりました
keigo-sonkeigo-nasaru|なさいます
keigo-sonkeigo-kudasaru|くださいました
keigo-sonkeigo-okudasaru|お待ちください
keigo-kenjougo-osuru|お持ちします
keigo-kenjougo-mairu|参ります
keigo-kenjougo-mousu|申します
keigo-kenjougo-moushiageru|申し上げたい
keigo-kenjougo-itadaku|いただきます
keigo-kenjougo-haikensuru|拝見して
keigo-kenjougo-zonjiru|存じております
keigo-kenjougo-zonjiageru|存じ上げております
keigo-kenjougo-itasu|いたします
keigo-kenjougo-sashiageru|差し上げました
keigo-kenjougo-ukagau|お伺いして
keigo-kenjougo-oru|おります
keigo-teinei-sasete-itadaku|休ませていただきます
keigo-sonkeigo-okudasai|お座りください
keigo-sonkeigo-teirassharu|待っていらっしゃいます
keigo-sonkeigo-omieninaru|お見えになりました
keigo-sonkeigo-okoshininaru|お越しになりました
keigo-sonkeigo-oideninaru|おいでになります
keigo-sonkeigo-omotomeninaru|お求めになりました
keigo-sonkeigo-goriyouninaru|ご利用になります
keigo-kenjougo-haishakusuru|拝借して
keigo-kenjougo-haidokusuru|拝読いたしました
keigo-kenjougo-omenikakaru|お目にかかれて
keigo-kenjougo-uketamawaru|承りました
keigo-kenjougo-choudaisuru|頂戴できます
keigo-kenjougo-odenwasashiageru|お電話を差し上げます
keigo-sonkeigo-tamawaru|賜ります
keigo-sonkeigo-ooseninaru|仰せになった
keigo-sonkeigo-asobasu|お出かけ遊ばしました
keigo-sonkeigo-goranninaru-kudasu|ご理解くださいます
keigo-sonkeigo-rareru-bungo|給う
keigo-sonkeigo-meshimasu|召して
keigo-sonkeigo-gorankudasai|ご高覧
keigo-sonkeigo-oanjiaremasenu|ご高配
keigo-sonkeigo-ossharuhiniku|ご笑覧
keigo-kenjougo-tatematsuru|奉る
keigo-kenjougo-haichou|拝聴いたしました
keigo-kenjougo-haijousuru|拝受いたしました
keigo-kenjougo-tsutsushinde|謹んで
keigo-kenjougo-guchimoushiageru|愚見
keigo-kenjougo-heikou|弊社
keigo-kenjougo-sesshou|拙著
keigo-kenjougo-onrei|御礼申し上げます
keigo-kenjougo-sanjouitasu|参上いたします
keigo-kenjougo-zoujisuru|贈呈いたします
keigo-kenjougo-haizensuru|お持ちいたしました
keigo-teinei-saseteitadakuuses|させていただきます
keigo-teinei-osoreirimashitsuki|恐縮ですが
keigo-teinei-makotoni|誠に
keigo-bikago-keijou|様
keigo-business-mailkaishibun|平素より
keigo-business-mailshimebun|末筆ながら
keigo-business-nantozosamaku|何卒
keigo-business-goyouken|ご用件をお伺いして
keigo-business-gokitainikotaerareru|ご期待に沿えず
keigo-business-gojiainokudasaimase|ご自愛ください
keigo-sonkeigo-gokurou|お疲れ様です
keigo-kenjougo-mairushinchuu|の折には
keigo-kenjougo-osagashisuru|お調べいたします
keigo-bikago-omizu|お水
keigo-bikago-ocha|お茶
keigo-bikago-okane|お金
keigo-bikago-onamae|お名前
keigo-bikago-onaka|お腹
keigo-bikago-obentou|お弁当
keigo-bikago-omiyage|お土産
keigo-bikago-omatsuri|お祭り
keigo-bikago-gohan|ご飯
keigo-bikago-gokazoku|ご家族
keigo-bikago-gojuusho|ご住所
keigo-bikago-otearai|お手洗い
keigo-bikago-gochisou|ご馳走様
keigo-bikago-otsuri|お釣り
