# word|romaji|meaning|category|level|usage note|example Japanese|romaji|German|second Japanese|romaji|German|related
ふかふか|fukafuka|dick, weich und nachgiebig|Zustände|N3|ふかふかの布団・ふかふかした土。Betont polsternde Weichheit, nicht das Schweben von ふわふわ.|干した布団はふかふかだ。|Hoshita futon wa fukafuka da.|Der ausgelüftete Futon ist herrlich weich und bauschig.|落ち葉の下の土がふかふかしている。|Ochiba no shita no tsuchi ga fukafuka shite iru.|Die Erde unter dem Laub ist locker und weich.|フワフワ,ふんわり
きっちり|kicchiri|genau; ordentlich und lückenlos|Bewegung|N3|時間・数・仕事をきっちり。ぴったり betont das genaue Passen, きっちり auch Sorgfalt.|会議は十時きっちりに始まった。|Kaigi wa juuji kicchiri ni hajimatta.|Die Besprechung begann genau um zehn.|使った道具をきっちり片付けてから帰る。|Tsukatta dougu o kicchiri katazukete kara kaeru.|Ich räume die benutzten Werkzeuge sorgfältig auf, bevor ich gehe.|ピッタリ,シッカリ
ばっちり|bacchiri|perfekt; bestens|Zustände|N3|準備はばっちり。Umgangssprachliches positives Urteil; in förmlichen Texten besser 十分・万全.|明日の試験の準備はばっちりだ。|Ashita no shiken no junbi wa bacchiri da.|Ich bin bestens auf die morgige Prüfung vorbereitet.|集合写真に全員がばっちり写っている。|Shuugou shashin ni zen'in ga bacchiri utsutte iru.|Auf dem Gruppenfoto sind alle perfekt zu sehen.|ピッタリ,きっちり
じっくり|jikkuri|gründlich und mit Zeit|Bewegung|N3|じっくり考える・煮込む。Betont konzentrierte Sorgfalt; ゆっくり kann nur das langsame Tempo meinen.|契約する前に、条件をじっくり読んだ。|Keiyaku suru mae ni, jouken o jikkuri yonda.|Vor dem Vertragsabschluss las ich die Bedingungen gründlich.|弱火で肉をじっくり煮込む。|Yowabi de niku o jikkuri nikomu.|Das Fleisch wird langsam bei schwacher Hitze geschmort.|ゆっくり,シッカリ
ゆったり|yuttari|geräumig; entspannt und ohne Hast|Zustände|N3|ゆったりした服・ゆったり過ごす。Kann Platz oder zeitlichen Spielraum beschreiben.|ゆったりした服に着替えた。|Yuttari shita fuku ni kigaeta.|Ich zog bequeme, weit geschnittene Kleidung an.|休日は家でゆったり過ごしたい。|Kyuujitsu wa ie de yuttari sugoshitai.|Den freien Tag möchte ich entspannt zu Hause verbringen.|ノンビリ,ノビノビ
じんわり|jinwari|langsam durchdringend; sanft zunehmend|Zustände|N2|じんわり温まる・汗がにじむ。Eine langsam spürbar werdende Empfindung; じわじわ betont den Verlauf.|温かいお茶で体がじんわり温まった。|Atatakai ocha de karada ga jinwari atatamatta.|Der warme Tee wärmte meinen Körper allmählich von innen.|優しい言葉が胸にじんわり染みた。|Yasashii kotoba ga mune ni jinwari shimita.|Die freundlichen Worte berührten mich tief und leise.|ジワジワ,ジーンと
べちゃべちゃ|bechabecha|nass und matschig|Zustände|N2|べちゃべちゃのご飯。Meist negativ: zu viel Feuchtigkeit und fehlende Festigkeit.|水が多すぎて、ご飯がべちゃべちゃになった。|Mizu ga oosugite, gohan ga bechabecha ni natta.|Durch zu viel Wasser wurde der Reis matschig.|雪が溶けて、道がべちゃべちゃだ。|Yuki ga tokete, michi ga bechabecha da.|Der schmelzende Schnee hat die Straße in Matsch verwandelt.|ビショビショ,グチャグチャ
しわしわ|shiwashiwa|runzelig; voller Falten|Zustände|N3|しわしわの服・しわしわになる。くしゃくしゃ betont das Zerknüllen und Durcheinander.|洗濯物を放置したら、シャツがしわしわになった。|Sentakumono o houchi shitara, shatsu ga shiwashiwa ni natta.|Weil ich die Wäsche liegen ließ, wurde das Hemd ganz zerknittert.|長く風呂に入って、指がしわしわだ。|Nagaku furo ni haitte, yubi ga shiwashiwa da.|Nach dem langen Bad sind meine Finger runzelig.|クシャクシャ,ヨボヨボ
ぷんぷん|punpun|stark riechend; sichtbar wütend|Gefühle|N3|ぷんぷん怒る・匂いがぷんぷんする。Kann Ärger oder einen aufdringlichen Geruch ausdrücken.|約束を忘れられて、妹はぷんぷん怒っている。|Yakusoku o wasurerarete, imouto wa punpun okotte iru.|Meine jüngere Schwester ist stinksauer, weil man die Verabredung vergessen hat.|部屋に香水の匂いがぷんぷんする。|Heya ni kousui no nioi ga punpun suru.|Im Zimmer riecht es sehr stark nach Parfüm.|プリプリ,カッと
ぐちぐち|guchiguchi|anhaltend nörgelnd|Bewegung|N2|ぐちぐち言う。Negative Bewertung ständigen Klagens; nicht jede ruhige Beschwerde ist ぐちぐち.|終わったことをぐちぐち言わないで。|Owatta koto o guchiguchi iwanaide.|Nörgle nicht ständig über etwas, das schon vorbei ist.|彼は待ち時間の長さをぐちぐちとこぼしていた。|Kare wa machijikan no nagasa o guchiguchi to koboshite ita.|Er beklagte sich unablässig über die lange Wartezeit.|ブツブツ,ネチネチ
よたよた|yotayota|wackelig und unsicher gehend|Bewegung|N2|よたよた歩く。Betont instabile Schritte; とぼとぼ betont eher Mutlosigkeit.|重い荷物を抱えて、よたよた歩いた。|Omoi nimotsu o kakaete, yotayota aruita.|Mit dem schweren Gepäck ging ich wackelig voran.|子犬がよたよたと近づいてきた。|Koinu ga yotayota to chikazuite kita.|Der Welpe kam mit unsicheren Schritten näher.|ヨロヨロ,ヨチヨチ
わらわら|warawara|in großer Zahl hervorströmend|Bewegung|N2|わらわら集まる・出てくる。Viele Einzelne bewegen sich ungeordnet; ぞろぞろ eher nacheinander.|餌を置くと、猫がわらわら集まってきた。|Esa o oku to, neko ga warawara atsumatte kita.|Als ich Futter hinstellte, kamen zahlreiche Katzen angelaufen.|鐘が鳴ると、子供たちが教室からわらわら出てきた。|Kane ga naru to, kodomotachi ga kyoushitsu kara warawara dete kita.|Beim Klingeln strömten die Kinder aus dem Klassenzimmer.|ゾロゾロ,ガヤガヤ
ぽとぽと|potopoto|in einzelnen Tropfen oder kleinen Stücken fallend|Geräusche|N2|ぽとぽと落ちる。Kleine, getrennte Fallbewegungen; ざあざあ ist ein anhaltender starker Strom.|ぬれた傘から水がぽとぽと落ちる。|Nureta kasa kara mizu ga potopoto ochiru.|Von dem nassen Regenschirm fallen einzelne Wassertropfen.|熟した実が木からぽとぽと落ちた。|Jukushita mi ga ki kara potopoto ochita.|Reife Früchte fielen eine nach der anderen vom Baum.|ポタポタ,ザーザー
ぺろっと|perotto|kurz leckend; mühelos aufessend|Bewegung|N3|ぺろっとなめる・食べる。Eine kurze Bewegung oder überraschend müheloses Aufessen; ぺろぺろ ist wiederholt.|猫が手をぺろっとなめた。|Neko ga te o perotto nameta.|Die Katze leckte kurz über meine Hand.|弟は大きなケーキをぺろっと食べた。|Otouto wa ookina keeki o perotto tabeta.|Mein jüngerer Bruder verputzte mühelos ein großes Stück Kuchen.|ペロペロ,パクパク
ばっと|batto|plötzlich und kräftig|Bewegung|N2|ばっと開く・立ち上がる。Eine abrupte Bewegung; じわじわ ist allmählich.|風でドアがばっと開いた。|Kaze de doa ga batto hiraita.|Der Wind riss die Tür plötzlich auf.|名前を呼ばれて、彼はばっと立ち上がった。|Namae o yobarete, kare wa batto tachiagatta.|Als sein Name fiel, sprang er auf.|ガバッと,サッと
ばーんと|baanto|mit einem Knall; demonstrativ groß|Geräusche|N3|ばーんと閉める・大きく載せる。Ein kräftiger einzelner Knall oder auffällige Präsentation.|ドアがばーんと閉まった。|Doa ga baanto shimatta.|Die Tür fiel mit einem Knall zu.|広告に新商品の写真がばーんと載っている。|Koukoku ni shinshouhin no shashin ga baanto notte iru.|Die Werbung zeigt ein riesiges, auffälliges Foto des neuen Produkts.|バンバン,ドカンと
せこせこ|sekoseko|kleinlich geschäftig; ohne Ruhe|Bewegung|N1|せこせこ働く。Abwertender als せっせと; wirkt hektisch und ohne Großzügigkeit.|休む間もなく、せこせこ働いている。|Yasumu ma mo naku, sekoseko hataraite iru.|Er arbeitet rastlos ohne eine Pause.|細かい金額をせこせこ計算するのは疲れる。|Komakai kingaku o sekoseko keisan suru no wa tsukareru.|Jeden kleinen Betrag penibel auszurechnen ist ermüdend.|セカセカ,チマチマ
ぽちゃぽちゃ|pochapocha|leise plätschernd|Geräusche|N2|水がぽちゃぽちゃ鳴る。Kleine Wasserbewegungen; ばしゃばしゃ bezeichnet kräftiges Spritzen.|岸で波がぽちゃぽちゃと音を立てている。|Kishi de nami ga pochapocha to oto o tatete iru.|Am Ufer plätschern die Wellen leise.|子供が足を動かすと、水がぽちゃぽちゃ鳴った。|Kodomo ga ashi o ugokasu to, mizu ga pochapocha natta.|Als das Kind die Füße bewegte, plätscherte das Wasser.|チャプチャプ,バシャバシャ
はあはあ|haahaa|keuchend; schwer atmend|Geräusche|N3|はあはあ息をする。Schnelles Atmen nach Anstrengung; ぜーぜー enthält oft ein pfeifendes Atemgeräusch.|階段を駆け上がって、はあはあ息をした。|Kaidan o kakeagatte, haahaa iki o shita.|Nach dem Sprint die Treppe hinauf keuchte ich.|犬が舌を出してはあはあしている。|Inu ga shita o dashite haahaa shite iru.|Der Hund hechelt mit heraushängender Zunge.|ゼーゼー,ヒーヒー
しゅーしゅー|shuushuu|anhaltend zischend|Geräusche|N2|蒸気がしゅーしゅー出る。Ein längeres Zischen; しゅっしゅっ bezeichnet kurze einzelne Stöße.|やかんから蒸気がしゅーしゅー出ている。|Yakan kara jouki ga shuushuu dete iru.|Aus dem Kessel zischt Dampf.|タイヤから空気がしゅーしゅー漏れていた。|Taiya kara kuuki ga shuushuu morete ita.|Aus dem Reifen entwich zischend Luft.|シュッシュッ,ヒューヒュー
ぎーぎー|giigii|quietschend; knarrend|Geräusche|N2|古い戸がぎーぎー鳴る。Ein anhaltend unangenehmes Reibegeräusch; とんとん bezeichnet Klopfen.|古い椅子がぎーぎー鳴る。|Furui isu ga giigii naru.|Der alte Stuhl knarrt.|門を動かすたびに、蝶番がぎーぎーきしんだ。|Mon o ugokasu tabi ni, choutsugai ga giigii kishinda.|Bei jeder Bewegung des Tores quietschten die Scharniere.|ギシギシ,キーキー
もうもう|moumou|dicht aufsteigend und die Sicht verhüllend|Zustände|N1|煙・ほこりがもうもうと立ち込める。Meist mit と; kein Tierlaut wie モーモー.|煙がもうもうと立ち込めて、向こうが見えない。|Kemuri ga moumou to tachikomete, mukou ga mienai.|Dichter Rauch versperrt die Sicht.|車が通ると、ほこりがもうもうと舞い上がった。|Kuruma ga tooru to, hokori ga moumou to maiagatta.|Als das Auto vorbeifuhr, wirbelten dichte Staubwolken auf.|モクモク,モワモワ
もっちり|mocchiri|weich und angenehm elastisch beim Beißen|Zustände|N2|もっちりしたパン。Ähnlich もちもち; beschreibt oft den Gesamteindruck einer kompakten, elastischen Textur.|このパンはもっちりした食感だ。|Kono pan wa mocchiri shita shokkan da.|Dieses Brot hat eine angenehm elastische Konsistenz.|米粉を加えると、生地がもっちりする。|Komeko o kuwaeru to, kiji ga mocchiri suru.|Mit Reismehl wird der Teig schön elastisch.|モチモチ,ぷるぷる
こりこり|korikori|fest-knackig beim Kauen|Zustände|N2|こりこりした食感。Fester Biss, etwa bei Knorpel; さくさく ist eher leicht und brüchig.|軟骨はこりこりした食感が特徴だ。|Nankotsu wa korikori shita shokkan ga tokuchou da.|Knorpel zeichnet sich durch seinen fest-knackigen Biss aus.|この漬物はこりこりしておいしい。|Kono tsukemono wa korikori shite oishii.|Dieses eingelegte Gemüse ist schön knackig und lecker.|カリカリ,サクサク
ぷちぷち|puchipuchi|klein und wiederholt platzend|Geräusche|N2|ぷちぷちつぶす・ぷちぷちした食感。Kleine einzelne Knack- oder Platzgeräusche und entsprechende Textur.|緩衝材を指でぷちぷちつぶした。|Kanshouzai o yubi de puchipuchi tsubushita.|Ich ließ die Luftpolster mit den Fingern eines nach dem anderen platzen.|魚の卵が口の中でぷちぷちはじける。|Sakana no tamago ga kuchi no naka de puchipuchi hajikeru.|Die Fischeier platzen im Mund in kleinen Knacksern.|パチパチ,こりこり
せっせと|sesseto|fleißig und unermüdlich|Bewegung|N3|せっせと働く・貯める。Betont ausdauernden Einsatz; せかせか wirkt eher unruhig.|旅行のためにせっせとお金を貯めている。|Ryokou no tame ni sesseto okane o tamete iru.|Ich spare fleißig für die Reise.|祖母は庭の草をせっせと抜いていた。|Sobo wa niwa no kusa o sesseto nuite ita.|Meine Großmutter jätete unermüdlich im Garten.|コツコツ,セカセカ
